Station,Line,Latitude,Longitude,Order,Is Junction
Raja Nahar Singh,Violet Line,28.3400192,77.3164281,1,0
Sant Surdas (Sihi),Violet Line,28.3546513,77.3162264,2,0
Escorts Mujesar,Violet Line,28.3702344,77.3149203,3,0
Bata Chowk,Violet Line,28.3858361,77.313462,4,0
Neelam Chowk Ajronda,Violet Line,28.3974824,77.3123599,5,0
Old Faridabad,Violet Line,28.41186614,77.31182629,6,0
Badkal Mor,Violet Line,28.42299076,77.31014563,7,0
Sector 28,Violet Line,28.43918393,77.3083555,8,0
Mewala Maharajpur,Violet Line,28.44857134,77.30806073,9,0
NHPC Chowk,Violet Line,28.45781077,77.30731464,10,0
Sarai,Violet Line,28.47811048,77.30493753,11,0
Badarpur Border,Violet Line,28.4904999,77.3040379,12,0
Tughlakabad Station,Violet Line,28.5023598,77.2992401,13,0
Mohan Estate,Violet Line,28.5195895,77.29458455,14,0
Sarita Vihar,Violet Line,28.5286597,77.28839655,15,0
Jasola Apollo,Violet Line,28.5384251,77.2830377,16,0
Harkesh Nagar Okhla,Violet Line,28.5431246,77.2755616,17,0
Govind Puri,Violet Line,28.5443766,77.264266,18,0
Kalkaji Mandir,Violet Line,28.5497752,77.2606671,19,1
Nehru Place,Violet Line,28.54925735,77.252952,20,0
Kailash Colony,Violet Line,28.5530522,77.2429694,21,0
Moolchand,Violet Line,28.5644043,77.2342783,22,0
Lajpat Nagar,Violet Line,28.57060215,77.23653028,23,1
Jangpura,Violet Line,28.58245705,77.24150007,24,0
Jawaharlal Nehru Stadium,Violet Line,28.58935618,77.23358035,25,0
Khan Market,Violet Line,28.6001354,77.22649064,26,0
Central Secretariat,Violet Line,28.6158794,77.2122822,27,1
Janpath,Violet Line,28.62506525,77.21913973,28,0
Mandi House,Violet Line,28.62566686,77.23379508,29,1
ITO,Violet Line,28.62844442,77.24115921,30,0
Delhi Gate,Violet Line,28.64011706,77.24048842,31,0
Jama Masjid,Violet Line,28.65001015,77.23767617,32,0
Lal Quila,Violet Line,28.65683024,77.23684281,33,0
Kashmere Gate,Violet Line,28.66745054,77.2282975,34,1
